?????;??????? ?????;???? ?????;????? ??;????? ??
Telekom Srbija a.d., Beograd;014 428000;014 428999;10.9.2018;10.9.2028
Telekom Srbija a.d., Beograd;10 2100000;10 2100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2150000;10 2150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2157000;10 2157999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2310000;10 2314999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2316000;10 2317999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2318000;10 2318999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2319000;10 2319999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2320000;10 2327999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2331000;10 2338999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2340000;10 2348999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2353000;10 2353999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2360000;10 2363999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2383000;10 2383999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2387000;10 2387999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2680000;10 2682999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2688000;10 2689999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 304000;10 306999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 310000;10 314999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 316000;10 327999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 340000;10 347999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 352000;10 352999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 353000;10 353999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 360000;10 363999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 365000;10 365999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 370000;10 372999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 373000;10 373999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 375000;10 378999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 383000;10 386999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;10 500000;10 501999;1.4.2012;1.4.2022
ORION TELEKOM;10 510000;10 519999;6.7.2018;6.7.2028
BEOTELNET-ISP;10 520000;10 520999;21.2.2016;21.2.2026
ASTRA TELEKOM;10 524000;10 524999;1.5.2017;1.5.2027
EXE NET;10 530000;10 530999;7.8.2017;7.8.2027
TELENOR;10 540000;10 540999;2.2.2011;10.2.2020
TELENOR;10 541000;10 541999;15.9.2012;10.2.2020
