?????;??????? ?????;???? ?????;????? ??;????? ??
Telekom Srbija a.d., Beograd;014 428000;014 428999;10.9.2018;10.9.2028
Telekom Srbija a.d., Beograd;10 2100000;10 2100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2150000;10 2150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 2157000;10 2157999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 375000;10 378999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;10 383000;10 386999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;10 500000;10 501999;1.4.2012;1.4.2022
ORION TELEKOM;10 510000;10 519999;6.7.2018;6.7.2028
BEOTELNET-ISP;10 520000;10 520999;21.2.2016;21.2.2026
ASTRA TELEKOM;10 524000;10 524999;1.5.2017;1.5.2027
EXE NET;10 530000;10 530999;7.8.2017;7.8.2027
TELENOR;10 540000;10 540999;2.2.2011;10.2.2020
TELENOR;10 541000;10 541999;15.9.2012;10.2.2020
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;10 551000;10 551999;1.10.2018;1.10.2028
VIP MOBILE;10 590000;10 598999;6.2.2017;6.2.2027
VIP MOBILE;10 599000;10 599999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;11 3670000;11 3672999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3673000;11 3673999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;11 3674000;11 3679999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3690000;11 3696999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3698000;11 3699999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3713000;11 3716999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3718000;11 3718999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3730000;11 3733999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3959000;11 3959999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3960000;11 3965999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3967000;11 3967999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3970000;11 3989999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;11 4000000;11 4099999;1.4.2012;1.4.2022
ORION TELEKOM;11 4100000;11 4100999;6.7.2018;6.7.2028
ORION TELEKOM;11 4101000;11 4110999;6.7.2018;6.7.2028
ORION TELEKOM;11 4111000;11 4119999;6.7.2018;6.7.2028
ORION TELEKOM;11 4120000;11 4129999;6.7.2018;6.7.2028
ORION TELEKOM;11 4130000;11 4139999;6.7.2018;6.7.2028
ORION TELEKOM;11 4140000;11 4149999;6.7.2018;6.7.2028
ORION TELEKOM;11 4150000;11 4159999;6.7.2018;6.7.2028
