????????;???;??????
AKCIJA PROTIV TRGOVINE LJUDIMA - ASTRA;116000;Pozivni centar za nestalu decu
AMSS;1987;Pomo? na putu
Ministarstvo trgovine, turizma i telekomunikacija;19833;Pozivni centar za bezbednost dece na internetu
Ministarstvo trgovine, turizma i telekomunikacija;19833;
Nacionalna de?ija linija (NADEL Srbija);116111;Pozivni centar za pomo? deci
ORION TELEKOM;18988;Pozivni centar za TV digitalizaciju
ORION TELEKOM;18999;Komercijalne usluge
ORION TELEKOM;19998;Komercijalne usluge
ORION TELEKOM;195;Ta?no vreme
SAT-TRAKT;18900;Komercijalne usluge
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;19901;Komercijalne usluge
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;19987;Komercijalne usluge
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;11888;Obaveštenje o brojevima telefona pretplatnika
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;19777;Prijava smetnji
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;19900;Komercijalne usluge
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;195;Ta?no vreme
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;19955;Komercijalne usluge
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;19966;Komercijalne usluge
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;19977;Komercijalne usluge
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;19910;Komercijalne usluge
Telekom Srbija a.d., Beograd;1985;Centar za uzbunjivanje i obaveštavanje
Telekom Srbija a.d., Beograd;19909;Komercijalne usluge
Telekom Srbija a.d., Beograd;19860;Vojna policija
Telekom Srbija a.d., Beograd;19812;Razne informacije
Telekom Srbija a.d., Beograd;19818;ADSL express
Telekom Srbija a.d., Beograd;18981;Komercijalne usluge
Telekom Srbija a.d., Beograd;18989;Komercijalne usluge
Telekom Srbija a.d., Beograd;19701;Komercijalne usluge
Telekom Srbija a.d., Beograd;19704;Komercijalne usluge
Telekom Srbija a.d., Beograd;19705;Komercijalne usluge
Telekom Srbija a.d., Beograd;19707;Komercijalne usluge
Telekom Srbija a.d., Beograd;19715;Komercijalne usluge
Telekom Srbija a.d., Beograd;19797;Komercijalne usluge
Telekom Srbija a.d., Beograd;19828;Komercijalne usluge
Telekom Srbija a.d., Beograd;19919;Komercijalne usluge
Telekom Srbija a.d., Beograd;19970;Komercijalne usluge
Telekom Srbija a.d., Beograd;19991;Komercijalne usluge
Telekom Srbija a.d., Beograd;19800;Komercijalne usluge
Telekom Srbija a.d., Beograd;19908;Komercijalne usluge
Telekom Srbija a.d., Beograd;19702;Komercijalne usluge
Telekom Srbija a.d., Beograd;19706;Komercijalne usluge
Telekom Srbija a.d., Beograd;19713;Komercijalne usluge
Telekom Srbija a.d., Beograd;19781;Komercijalne usluge
Telekom Srbija a.d., Beograd;19787;Komercijalne usluge
Telekom Srbija a.d., Beograd;19788;Komercijalne usluge
Telekom Srbija a.d., Beograd;19965;Komercijalne usluge
Telekom Srbija a.d., Beograd;19820;Važni telefoni i kursna lista
Telekom Srbija a.d., Beograd;19821;Dežurne klinike i apoteke u Beogradu
Telekom Srbija a.d., Beograd;19780;TAXI
Telekom Srbija a.d., Beograd;19709;TAXI
Telekom Srbija a.d., Beograd;19712;TAXI
Telekom Srbija a.d., Beograd;19717;TAXI
Telekom Srbija a.d., Beograd;19789;TAXI
Telekom Srbija a.d., Beograd;19782;TAXI
Telekom Srbija a.d., Beograd;19727;TAXI
Telekom Srbija a.d., Beograd;19806;TAXI
Telekom Srbija a.d., Beograd;19771;Prijava smetnji
Telekom Srbija a.d., Beograd;11811;Služba Informacija o pretplatnicima
Telekom Srbija a.d., Beograd;19922;Komercijalne usluge
Telekom Srbija a.d., Beograd;19933;Komercijalne usluge
Telekom Srbija a.d., Beograd;19911;Komercijalne usluge
Telekom Srbija a.d., Beograd;19944;Komercijalne usluge
Telekom Srbija a.d., Beograd;195;Ta?no vreme
Telekom Srbija a.d., Beograd;1961;Telegram
Telekom Srbija a.d., Beograd;19011;Prijava me?unarodnih razgovora
Telekom Srbija a.d., Beograd;19811;Služba bu?enja
Telekom Srbija a.d., Beograd;19813;Korisni?ki servis
Telekom Srbija a.d., Beograd;19822;Informacije o meteorološkim podacima, LOTO izveštaju i verskim praznicima
Telekom Srbija a.d., Beograd;19700;TAXI
Telekom Srbija a.d., Beograd;19999;TAXI
Telekom Srbija a.d., Beograd;19990;Komercijalne usluge
Telekom Srbija a.d., Beograd;19711;TAXI
Telekom Srbija a.d., Beograd;19801;TAXI
Telekom Srbija a.d., Beograd;19802;TAXI
Telekom Srbija a.d., Beograd;19803;TAXI
Telekom Srbija a.d., Beograd;19899;Komercijalne usluge
Telekom Srbija a.d., Beograd;19805;TAXI
Telekom Srbija a.d., Beograd;19939;Komercijalne usluge
Telekom Srbija a.d., Beograd;19807;TAXI
Telekom Srbija a.d., Beograd;19808;TAXI
Telekom Srbija a.d., Beograd;19804;TAXI
Telekom Srbija a.d., Beograd;19888;TAXI
Telekom Srbija a.d., Beograd;19898;TAXI
Telekom Srbija a.d., Beograd;19988;TAXI
Telekom Srbija a.d., Beograd;192;Policija
Telekom Srbija a.d., Beograd;193;Vatrogasna služba
Telekom Srbija a.d., Beograd;194;Hitna pomo?
Telekom Srbija a.d., Beograd;1976;Vojna hitna pomo?
TELENOR;11833;Obaveštenje o brojevima telefona pretplatnika
